propertytype;listingtype;averagedailyrate;occupancyrateltm;numberofbookingsltm;numberofreviews;bedrooms;bathrooms;maxguests;cancellationpolicy;securitydeposit;cleaningfee;extrapeoplefee;publishednightlyrate;publishedmonthlyrate;publishedweeklyrate;minimumstay;numberofphotos;city_num;rating
Apartment;Entire home/apt;228;0;9;3;2;1;4;Flexible;;45;;175;5194;1225;2;13;75;4
House;Private room;144;0;1;1;1;2;2;Strict;100;50;;119;3332;833;1;20;75;4
Boat;Private room;160;0;2;0;1;1;2;Flexible;;;;160;4480;1120;1;15;84;
Apartment;Entire home/apt;;;0;;1;1;2;Strict;200;100;;89;3180;600;7;;45;
House;Private room;;;0;1;1;1;2;Flexible;;;5;75;2239;400;2;0;75;
Apartment;Private room;;;0;;1;1;2;Strict;;;;147;4363;1029;1;;75;
House;Entire home/apt;;;0;1;3;1;6;Strict;150;180;;500;14000;3500;5;26;75;4
Apartment;Private room;;;0;0;1;1;4;Flexible;;;;279;7812;1953;1;1;19;
Apartment;Entire home/apt;;;0;4;1;1;2;Strict;;50;;195;5788;1300;1;0;75;4
House;Private room;130;0;3;0;1;1;2;Flexible;;;;130;3640;910;1;1;75;
;Entire home/apt;312;1;9;26;1;1;3;Strict;;110;45;290;6572;1900;3;;75;3
House;Entire home/apt;192;1;3;7;2;2;6;Moderate;500;95;;200;5600;1400;3;9;1;4
Apartment;Entire home/apt;134;1;2;1;0;1;2;Strict;200;69;;113;3164;791;2;12;75;4
House;Shared room;73;1;1;0;1;3;1;Strict;500;100;;69;900;300;1;1;5;
House;Private room;55;0;3;1;1;1;2;Flexible;;;;55;1540;385;1;7;53;2
Apartment;Entire home/apt;83;1;41;16;2;1;5;Strict;;12;10;65;1820;560;1;11;25;4
House;Private room;;;0;1;1;1;1;Flexible;;;;100;2800;700;1;1;53;4
Apartment;Entire home/apt;;;0;;0;1;4;Strict;300;;75;165;4897;1100;1;;75;
Apartment;Entire home/apt;231;1;40;23;1;1;3;Moderate;;75;;215;6020;1505;2;11;75;4
House;Private room;163;1;55;165;1;1;2;Flexible;;20;;149;4300;1140;2;22;75;4
Apartment;Entire home/apt;;;0;0;1;1;2;Flexible;;;;630;4410;17640;1;1;75;
Apartment;Private room;65;0;5;7;1;1;1;Moderate;500;;;69;1932;483;2;12;53;4
House;Private room;53;1;121;91;1;1;1;Flexible;;5;;51;1428;357;1;8;86;4
House;Private room;36;1;7;0;1;3;1;Strict;100;10;10;30;850;250;2;13;4;
Apartment;Entire home/apt;;;0;6;2;1;4;Strict;;100;;125;3710;850;4;0;75;4
House;Private room;155;0;2;30;1;1;2;Flexible;200;50;;138;4096;964;3;;75;3
House;Private room;63;1;5;11;1;1;2;Strict;300;30;25;60;1375;420;1;21;58;4
Apartment;Private room;;;0;0;1;1;2;Flexible;;;;129;3612;903;6;6;75;
House;Entire home/apt;350;0;3;1;2;1;4;Flexible;;;;275;7700;1925;1;11;86;4
Apartment;Private room;74;1;84;92;1;1;2;Moderate;;40;;70;1700;450;1;6;75;2
Apartment;Entire home/apt;256;0;10;13;1;1;3;Strict;300;80;;249;6972;1743;5;18;75;4
Apartment;Shared room;82;1;25;83;1;1;2;Strict;100;25;;70;1960;490;4;62;75;4
Apartment;Entire home/apt;;;0;5;1;1;4;Moderate;;75;25;150;2968;0;1;0;27;3
Apartment;Shared room;125;0;4;1;1;2;4;Strict;200;50;65;65;1300;350;3;7;75;2
House;Entire home/apt;223;1;10;18;1;1;4;Strict;;75;30;265;7420;1855;4;7;75;4
Apartment;Entire home/apt;103;1;5;11;0;1;2;Moderate;100;50;10;100;2341;635;2;5;8;3
Condominium;Private room;;;0;;1;1;2;Moderate;;5;10;62;1413;369;1;;86;
Apartment;Entire home/apt;129;0;1;7;2;1;5;Strict;;7;;99;2772;693;3;8;1;3
House;Private room;;;0;0;1;1;2;Flexible;;;;86;2408;602;7;11;8;
Apartment;Entire home/apt;;;0;0;1;1;3;Moderate;;;;670;18760;4690;1;3;6;
House;Private room;;;0;0;1;1;2;Flexible;;;;45;1017;270;1;0;4;
Apartment;Entire home/apt;300;1;1;0;2;1;5;Flexible;300;150;;295;6095;2065;8;15;75;
Apartment;Shared room;120;1;6;2;1;1;2;Flexible;;;;120;1724;450;1;9;75;3
Apartment;Entire home/apt;146;0;1;0;1;1;2;Strict;;175;;130;3640;910;10;7;75;
House;Entire home/apt;;;0;0;4;5;6;Strict;1000;;;500;14000;3500;4;8;2;
Apartment;Entire home/apt;;;0;0;2;1;4;Flexible;;;;450;12600;3150;1;1;75;
Apartment;Private room;;;0;2;1;2;2;Flexible;;20;;75;2100;525;1;3;75;4
House;Private room;;;0;0;1;1;2;Flexible;;;;600;16800;4200;1;4;53;
House;Private room;120;0;2;1;1;1;2;Flexible;;;;120;3562;840;1;8;75;4
Loft;Entire home/apt;349;1;5;1;1;2;2;Flexible;;100;;350;9800;2450;2;33;75;4
Apartment;Entire home/apt;172;0;3;16;1;1;3;Moderate;;45;20;145;3265;1000;4;6;75;4
House;Entire home/apt;;;0;0;2;1;4;Moderate;500;100;;154;4312;1078;4;26;8;
House;Shared room;63;0;5;1;1;3;6;Moderate;200;50;50;65;1400;375;3;9;75;2
Apartment;Entire home/apt;482;1;43;110;2;2;6;Strict;500;150;;350;2450;13000;1;43;75;4
Apartment;Private room;180;1;16;17;1;1;2;Strict;;40;;140;4155;980;1;21;75;4
House;Private room;80;1;2;2;1;1;1;Flexible;;20;;80;2240;560;1;12;75;4
Apartment;Entire home/apt;441;0;8;15;2;2;5;Strict;200;50;50;295;6200;1780;2;15;75;3
House;Shared room;;;0;0;1;1;1;Flexible;;30;;60;1680;420;7;17;53;
Apartment;Entire home/apt;;;0;;2;1;4;Flexible;;150;;205;4134;1200;1;;75;
Apartment;Private room;153;1;1;3;1;1;2;Flexible;;25;;200;5600;1400;1;47;75;4
Apartment;Private room;61;1;4;5;1;1;1;Flexible;200;;;75;2239;525;1;17;53;1
House;Entire home/apt;156;1;1;1;2;1;4;Moderate;500;60;;150;3710;1000;7;13;8;
House;Shared room;46;0;3;2;1;4;4;Moderate;;20;42;45;1260;315;4;10;75;4
House;Entire home/apt;;;0;0;4;4;8;Flexible;5000;150;;3500;98000;24500;4;20;74;
Apartment;Private room;;;0;1;1;1;1;Flexible;;;;100;2800;700;1;1;75;4
Apartment;Private room;89;0;7;0;1;1;2;Moderate;;50;;85;2380;595;3;4;75;
House;Private room;;;0;1;1;1;4;Flexible;;;;150;4200;1050;1;5;53;4
Apartment;Entire home/apt;;;0;3;0;1;2;Flexible;100;100;25;171;5075;0;0;0;75;
House;Private room;79;1;50;34;1;1;3;Strict;;10;35;70;2572;744;1;19;19;1
Apartment;Entire home/apt;;;0;0;3;2;6;Flexible;;120;;2000;56000;14000;3;18;75;
House;Private room;112;0;1;0;1;1;2;Flexible;150;30;25;150;3000;900;3;3;75;
Dorm;Private room;43;0;11;0;1;0;1;Flexible;;;;43;1043;270;1;1;86;
Apartment;Private room;;;0;0;1;1;1;Flexible;;;;500;14000;3500;2;3;75;
Apartment;Entire home/apt;;;0;0;1;1;3;Flexible;;;;400;11200;2800;1;1;68;
House;Private room;115;0;12;10;1;1;1;Moderate;;;;115;3220;805;2;3;75;4
Apartment;Private room;;;0;0;1;1;2;Flexible;;;;125;3500;875;2;1;75;
Apartment;Private room;;;0;2;1;1;1;Flexible;;25;;85;2380;595;2;9;75;4
"Bed &amp; Breakfast";Private room;;;0;0;1;2;2;Flexible;;;;135;4007;0;1;0;75;
House;Private room;144;0;27;9;1;1;2;Moderate;;10;;160;4480;1120;2;30;32;4
Apartment;Entire home/apt;;;0;3;1;1;2;Flexible;;40;;150;4452;0;1;0;75;3
House;Private room;84;1;65;37;1;1;3;Strict;100;25;20;75;2500;600;1;6;53;3
Apartment;Private room;;;0;0;1;1;2;Flexible;200;50;;110;3080;770;2;5;75;
;Private room;;;0;0;1;1;2;Flexible;;;;56;1690;392;1;1;75;
House;Private room;;;0;0;1;3;1;Moderate;;;;40;1120;280;1;9;26;
Apartment;Entire home/apt;133;1;27;16;1;1;4;Moderate;;;;150;4200;1050;2;12;75;3
Apartment;Entire home/apt;;;0;0;1;1;2;Flexible;250;50;;350;9800;2450;2;6;75;
"Bed &amp; Breakfast";Entire home/apt;140;0;10;49;0;1;2;Strict;;35;25;125;3100;695;2;19;29;4
Apartment;Entire home/apt;223;1;43;30;2;1;4;Flexible;150;80;;195;5200;1300;3;17;75;4
House;Entire home/apt;237;1;2;1;3;2;5;Flexible;500;125;;245;6860;1715;1;16;45;
Apartment;Entire home/apt;267;1;21;24;1;1;2;Moderate;;65;;264;7392;1848;3;18;75;3
Apartment;Private room;99;1;4;0;1;1;2;Flexible;;20;;90;2671;550;1;2;75;
Apartment;Entire home/apt;145;1;26;7;0;1;2;Moderate;250;75;;130;3640;910;2;10;75;3
House;Private room;;;0;0;1;1;2;Moderate;;;;79;2354;0;1;0;53;
Apartment;Entire home/apt;;;0;0;1;1;2;Flexible;;;;500;14000;3500;3;4;75;
Boat;Entire home/apt;242;0;13;21;2;2;4;Flexible;750;60;60;188;3600;1250;3;29;75;4
Apartment;Private room;176;0;6;2;1;2;2;Flexible;;;;300;8400;2100;1;5;75;4
Apartment;Private room;150;0;5;1;1;1;2;Flexible;;;;150;4200;1050;1;8;75;
Apartment;Shared room;;;0;;1;1;1;Flexible;;;;90;2671;630;1;;79;
Condominium;Entire home/apt;139;0;5;0;1;1;2;Strict;500;50;;125;3180;850;2;25;19;
House;Entire home/apt;202;1;5;5;2;2;4;Strict;200;60;15;200;5600;1365;4;43;82;4
Apartment;Entire home/apt;176;1;9;5;0;1;2;Moderate;300;60;;195;5460;1050;3;4;75;4
Apartment;Entire home/apt;94;1;1;10;1;1;3;Strict;;35;5;89;2492;623;4;23;53;3
House;Entire home/apt;;;0;;;1;6;Moderate;150;60;15;150;4452;900;1;;27;
House;Private room;93;1;11;22;1;1;2;Strict;;15;20;86;1400;400;2;12;8;3
Apartment;Entire home/apt;;;0;1;1;1;2;Flexible;;;;160;4749;1120;1;3;75;
Apartment;Entire home/apt;115;1;1;;1;1;2;Flexible;;;;115;2968;800;7;;40;
Apartment;Private room;99;0;3;5;1;1;3;Moderate;95;25;;85;2380;595;1;16;75;4
Apartment;Shared room;35;1;19;9;1;1;1;Strict;300;15;25;31;868;210;1;5;53;2
House;Entire home/apt;260;1;4;8;3;2;6;Strict;250;100;;250;7000;1750;3;21;8;4
Apartment;Private room;;;0;5;1;1;2;Moderate;;35;10;110;3080;770;4;10;75;4
House;Shared room;;;0;3;1;5;2;Moderate;;20;;40;1120;280;5;11;19;2
House;Shared room;24;0;2;0;1;1;1;Strict;200;;;24;661;149;1;31;30;
Apartment;Private room;;;0;6;1;1;2;Moderate;600;30;;141;4185;886;2;0;75;4
Cabin;Entire home/apt;75;1;22;11;0;1;2;Flexible;;50;15;70;1960;600;1;5;8;4
Apartment;Entire home/apt;;;0;1;1;1;2;Flexible;;25;;100;2968;0;2;0;8;
House;Private room;97;1;5;9;1;1;2;Moderate;;15;;79;1550;450;1;8;6;4
House;Private room;115;0;1;0;1;1;2;Flexible;;;;140;3920;980;1;11;75;
House;Private room;81;0;52;90;1;1;1;Moderate;;20;;75;2100;525;1;8;82;4
Apartment;Entire home/apt;;;0;4;2;1;4;Flexible;;95;;250;7420;1600;7;0;75;4
Apartment;Entire home/apt;157;1;34;12;1;1;2;Strict;250;80;;150;4200;1050;2;7;75;2
Apartment;Private room;;;0;39;1;1;2;Moderate;200;55;;85;1931;595;1;;75;4
Apartment;Entire home/apt;223;1;23;21;1;1;2;Moderate;;90;;175;5500;1225;1;22;75;4
Apartment;Private room;60;0;5;3;1;1;2;Flexible;;10;;1060;29680;7420;1;8;75;2
Apartment;Private room;;;0;0;1;1;2;Flexible;100;;;50;1516;300;1;4;53;
House;Entire home/apt;;;0;0;3;3;10;Strict;500;150;25;375;7950;2250;3;12;86;
Apartment;Entire home/apt;;;0;4;1;1;2;Moderate;500;50;;125;2597;750;1;0;75;4
House;Entire home/apt;365;0;10;4;2;1;4;Moderate;;150;;450;12600;3150;1;13;84;4
Apartment;Entire home/apt;115;1;5;0;1;1;2;Moderate;100;;;120;3360;840;2;5;75;
